"Przelewy24 is a group of almost 200 e-commerce enthusiasts setting trends on the payment market and turning clients' visions into innovative products. Thanks to this, we provide the widest range of payment services on the market, the highest level of service and comprehensive technological solutions.","Przelewy24 to grupa prawie 200 entuzjastów e-commerce, która wyznacza trendy na rynku płatności i zmienia wizje klientów w innowacyjne produkty. Dzieki temu zapewniamy najszerszy wachlarz usług płatniczych na rynku, najwyższy poziom obsługi i kompleksowe rozwiązania technologiczne."
"Main settings","Główne ustawienia"
"Payment gateway","Bramka płatnicza"
"Card payment","Płatność kartą"
"BLIK payment","Płatność BLIK"
"Google Pay payment","Płatność Google Pay"
"Apple Pay payment","Płatność Apple Pay"
"Instalment payments","Płatności ratalne"
"Compatibility","Zgodność"
"Enabled","Włączone"
"Merchant ID","ID Sprzedawcy"
"Pos ID","ID Sklepu"
"CRC key","Klucz CRC"
"API key","Klucz API"
"Test mode","Tryb testowy"
"Test Access","Przetestuj dostęp"
"Configuration must be saved before test","Konfiguracja musi zostać zapisana przed przetestowaniem"
"Allowed Currencies","Dozwolone waluty"
"Allowed Countries","Dozwolone kraje"
"Payment from Specific countries","Płatność z wybranych krajów"
"Debug","Tryb debugowania"
"Sort order","Kolejność sortowania"
"Select payment method in store","Wybierz metodę płatności w sklepie"
"Wait for transaction result","Czekaj na wynik transakcji"
"If set to yes, customer will be redirected back to the shop upon receiving payment confirmation.","Jeśli włączone, klient będzie przekierowany do sklepu po potwierdzeniu płatności."
"Promote eRaty Santander Consumer Bank S.A.","Promuj eRaty Santander Consumer Bank S.A."
"If set to yes, method eRaty Santander Consumer Bank S.A. will be displayed on top of payment methods list.","Jeśli włączone, metoda eRaty Santander Consumer Bank S.A. będzie wyświetlana jako pierwsza na liście dostępnych metod płatności."
"Automatically update payment status","Automatycznie aktualizuj status płatności"
"Automatically check for payment status update every 30 minutes. Order will be automatically cancelled if there is no payment after 30 minutes from order placement.","Automatycznie sprawdzaj status płatności co 30 minut. Zamówienie zostanie anulowane jeżeli nie zostało opłacone przez 30 minut."
"Payment methods","Metody płatności"
"If method is not listed here it will be automatically appended to the end of list in store if active.","Jeżeli metoda nie znajduje się na tej liście to zostanie automatycznie dodana na koniec listy, jeżeli jest aktywna."
"Credit card method ID","ID metody karty kredytowej"
"Apple Pay method ID","ID metody Apple Pay"
"Google Pay method ID","ID metody Google Pay"
"This ID is automatically updated during payment methods list update.","ID jest automatycznie zaktualizowane podczas aktualizacji listy metod płatności."
"Przelewy24 error: %1","Błąd Przelewy24: %1"
